Timestamp,Q1 CLASSIFICATION
3/11/2020 10:15:50,Y
3/11/2020 10:20:15,Y
3/11/2020 10:21:21,N
3/11/2020 12:53:50,Y
3/11/2020 15:31:48,Y
3/12/2020 1:12:27,N
3/12/2020 9:44:36,Y
3/12/2020 9:58:21,N
3/12/2020 11:28:09,Y
3/13/2020 6:42:57,N
3/14/2020 10:09:15,N
3/14/2020 11:46:22,Y
3/14/2020 12:16:35,Y
3/14/2020 16:34:16,Y
3/14/2020 17:30:11,Y
